model,roc_auc,average_precision,accuracy,precision_at_0_50,recall_at_0_50,top_risk_fraction,customers_targeted,churners_captured,total_test_churners,churner_capture_rate,top_segment_precision
logistic_regression,0.8413,0.6326,0.7381,0.5043,0.7834,0.1,141,107,374,0.2861,0.7589
random_forest,0.8376,0.6436,0.7779,0.567,0.6898,0.1,141,109,374,0.2914,0.773
